"Código","Nome","Volume","Última (R$)","Variação"
"ELET5","Eletrobras","100","85,00","+0,00%"
"SOND6","Sondotécnica","100","54,20","+0,37%"
"CBEE3","Ampla Energia","100","15,00","+0,00%"
"SOND5","Sondotécnica","100","55,00","+7,82%"
"GPAR3","CELGPAR","100","50,00","+11,11%"
"SQIA3","Sinqia","1.444.800","27,37","-0,29%"
"ESTR3","Estrela","100","12,00","-4,69%"
"BRGE11","Consórcio Alfa","100","10,75","-0,56%"
"BRGE8","Consórcio Alfa","4.200","10,81","-1,37%"
"BRGE7","Consórcio Alfa","800","10,82","+16,72%"
"MRSA6B","MRS Logística","200","23,56","-11,09%"
"ALSO3","Aliansce Sonae","5.883.300","23,33","+2,06%"
"BRPR3","BR Properties","10.600","131,17","+2,48%"
"LIPR3","Eletropar","100","70,12","-0,09%"
"PATI4","Panatlântica","100","33,00","+3,12%"
"MTSA3","METISA","100","79,00","+2,60%"
"SLED4","Saraiva","64.300","1,60","-1,84%"
"SLED3","Saraiva","3.000","3,21","-0,31%"
"EQPA6","Equatorial Energia Pará","100","10,05","+0,00%"
"AHEB6","São Paulo Turismo","100","17,02","+0,06%"
"PINE3","PINE","100","4,16","+0,24%"
"VIIA3","VIIA3","213.149.200","0,75","+2,74%"
"EKTR3","Elektro","100","33,50","-1,47%"
"MWET3","Wetzel","100","13,30","+0,08%"
"USIM6","Usiminas","200","16,31","-0,24%"
"AHEB5","São Paulo Turismo","100","16,59","+0,48%"
"ENBR3","EDP Brasil","1.697.900","24,08","+0,12%"
"BOAS3","Boa Vista","23.239.000","7,95","-0,38%"
"PEAB4","Participações Aliança da Bahia","2.600","74,00","+2,78%"
"COCE3","Coelce","200","50,01","+2,86%"
"JOPA4","Josapar","100","33,80","-1,20%"
"MODL3","Banco Modal","16.688.000","3,08","+0,33%"
"MERC3","Mercantil do Brasil Financeira","51.500","15,28","+1,13%"
"CEGR3","Naturgy (CEG)","100","85,00","-4,49%"
"MAPT3","Cemepe","300","30,05","+0,00%"
"CRDE3","CR2","400","16,00","+0,00%"
"IGBR3","IGB Eletrônica","700","175,99","+1,14%"
"MSPA4","Melhoramentos","100","40,00","+0,00%"
"ODER4","Conservas Oderich","100","100,00","+12,35%"
"PARD3","Hermes Pardini","1.861.800","18,10","+1,29%"
"CASN3","CASAN","100","10,43","-18,39%"
"WIZS3","WIZS3","779.400","7,16","+1,99%"
"LLIS3","LLIS3","249.800","1,73","+2,98%"
"MSPA3","Melhoramentos","400","46,25","-7,52%"
"BRML3","BRMalls","16.132.900","8,26","+2,35%"
"DMMO3","Dommo Energia","3.254.800","1,76","-1,12%"
"GETT3","Getnet","46.500","2,40","+1,27%"
"GETT4","Getnet","18.500","2,40","+1,27%"
"SULA4","SulAmérica","18.600","7,63","+5,53%"
"SULA3","SulAmérica","4.000","7,43","+1,50%"
"CEPE5","CELPE","100","40,12","+0,02%"
"TCNO4","Tecnosolo","36.800","0,85","-9,57%"
"TCNO3","Tecnosolo","3.400","1,20","-1,64%"
"CEPE6","CELPE","100","43,00","+6,17%"
"BKBR3","BKBR3","782.300","7,63","+0,26%"
"MTIG4","Metalgráfica Iguaçu","100","23,00","+0,00%"
"BLUT4","Blue Tech Solutions","171.100","1,52","-5,59%"
"BLUT3","Blue Tech Solutions","13.400","5,14","+0,59%"
"MODL4","Banco Modal","700","2,72","-2,16%"
"CARD3","CARD3","118.000","14,51","+1,82%"
"SHUL3","Schulz","100","27,94","-50,12%"
"FIGE3","Investimentos Bemge","100","12,03","+99,83%"
"FNCN3","Finansinos","4.800","14,25","-0,35%"
